frame,original,ocr_result,confidence,is_different
671,28 40,28,1.0,True
672,28 40,28,1.0,True
673,28 40,28,1.0,True
674,28 40,28,1.0,True
675,28 40,28,1.0,True
676,28 40,28,1.0,True
677,28 40,28,1.0,True
678,28 40,28,1.0,True
679,28 40,28,1.0,True
680,28 40,28,1.0,True
681,28 40,28,1.0,True
682,28 40,28,1.0,True
683,28 40,28,1.0,True
684,28 40,28,1.0,True
685,28 40,28,1.0,True
686,28 40,28,1.0,True
687,28 40,28,1.0,True
688,28 40,28,1.0,True
689,28 40,28,1.0,True
690,28 40,28,1.0,True
691,28 40,28,1.0,True
692,28 40,28,1.0,True
693,28 40,28,1.0,True
694,28 40,28,1.0,True
695,28 40,28,1.0,True
696,28 40,28,1.0,True
697,28 40,28,1.0,True
698,28 40,28,1.0,True
699,28 40,28,1.0,True
700,28 40,28,1.0,True
701,28 40,28,1.0,True
702,28 40,28,1.0,True
703,28 40,28,1.0,True
704,28 40,28,1.0,True
705,28 40,28,1.0,True
706,28 40,28,1.0,True
707,28 40,28,1.0,True
708,28 40,28,1.0,True
709,28 40,28,1.0,True
710,28 40,28,1.0,True
711,28 40,28,1.0,True
712,28 40,28,1.0,True
713,28 40,28,1.0,True
714,28 40,28,1.0,True
715,28 40,28,1.0,True
716,28 40,28,1.0,True
717,28 40,28,1.0,True
718,28 40,28,1.0,True
719,28 40,28,1.0,True
720,28 40,28,1.0,True
721,28 40,28,1.0,True
722,28 40,28,1.0,True
723,28 40,28,1.0,True
724,28 40,28,1.0,True
725,28 40,28,1.0,True
726,28 40,28,1.0,True
727,28 40,28,1.0,True
728,28 40,28,1.0,True
729,28 40,28,1.0,True
730,28 40,28,1.0,True
731,28 40,28,1.0,True
732,28 40,28,1.0,True
733,28 40,28,1.0,True
734,28 40,28,1.0,True
735,28 40,28,1.0,True
736,28 40,28,1.0,True
737,28 40,28,1.0,True
738,28 40,28,1.0,True
739,28 40,28,1.0,True
740,28 40,28,1.0,True
741,28 40,28,1.0,True
742,28 40,28,1.0,True
743,28 40,28,1.0,True
744,28 40,28,1.0,True
745,28 40,28,1.0,True
746,28 40,28,1.0,True
747,28 40,28,1.0,True
748,28 40,28,1.0,True
749,28 40,28,1.0,True
750,28 40,28,1.0,True
751,28 40,28,1.0,True
752,28 40,28,1.0,True
753,28 40,28,1.0,True
754,28 40,28,1.0,True
755,28 40,28,1.0,True
756,28 40,28,1.0,True
757,28 40,28,1.0,True
758,28 40,28,1.0,True
759,28 40,28,1.0,True
760,28 40,28,1.0,True
761,28 40,28,1.0,True
762,28 40,28,1.0,True
763,28 40,28,1.0,True
764,28 40,28,1.0,True
765,28 40,28,1.0,True
766,28 40,28,1.0,True
767,28 40,28,1.0,True
768,28 40,28,1.0,True
769,28 40,28,1.0,True
770,28 40,28,1.0,True
771,28 40,28,1.0,True
772,28 40,28,1.0,True
773,28 40,28,1.0,True
774,28 40,28,1.0,True
775,28 40,28,1.0,True
776,28 40,28,1.0,True
777,28 40,28,1.0,True
778,28 40,28,1.0,True
779,28 40,28,1.0,True
780,28 40,28,1.0,True
781,28 40,28,1.0,True
782,28 40,28,1.0,True
783,28 40,28,1.0,True
784,28 40,28,1.0,True
785,28 40,28,1.0,True
786,28 40,28,1.0,True
787,28 40,28,1.0,True
788,28 40,28,1.0,True
789,28 40,28,1.0,True
790,28 40,28,1.0,True
791,28 40,28,1.0,True
792,28 40,28,1.0,True
793,28 40,28,1.0,True
794,28 40,28,1.0,True
795,28 40,28,1.0,True
796,28 40,28,1.0,True
797,28 40,28,1.0,True
798,28 40,28,1.0,True
799,28 40,28,1.0,True
800,28 40,28,1.0,True
801,28 40,28,1.0,True
802,28 40,28,1.0,True
803,28 40,28,1.0,True
804,28 40,28,1.0,True
805,28 40,28,1.0,True
806,28 40,28,1.0,True
807,28 40,28,1.0,True
808,28 40,28,1.0,True
809,28 40,28,1.0,True
810,28 40,28,1.0,True
811,28 40,28,1.0,True
812,28 40,28,1.0,True
813,28 40,28,1.0,True
814,28 40,28,1.0,True
815,28 40,28,1.0,True
816,28 40,28,1.0,True
817,28 40,28,1.0,True
818,28 40,28,1.0,True
819,28 40,28,1.0,True
820,28 40,28,1.0,True
821,28 40,28,1.0,True
822,28 40,28,1.0,True
823,28 40,28,1.0,True
824,28 40,28,1.0,True
825,28 40,28,1.0,True
826,28 40,28,1.0,True
827,28 40,28,1.0,True
828,28 40,28,1.0,True
829,28 40,28,1.0,True
830,28 40,28,1.0,True
831,28 40,28,1.0,True
832,28 40,28,1.0,True
833,28 40,28,1.0,True
834,28 40,28,1.0,True
835,28 40,28,1.0,True
836,28 40,28,1.0,True
837,28 40,28,1.0,True
838,28 40,28,1.0,True
839,28 40,28,1.0,True
840,28 40,28,1.0,True
841,28 40,28,1.0,True
842,28 40,28,1.0,True
843,28 40,28,1.0,True
844,28 40,28,1.0,True
845,28 40,28,1.0,True
846,28 40,28,1.0,True
847,28 40,28,1.0,True
848,28 40,28,1.0,True
849,28 40,28,1.0,True
850,28 40,28,1.0,True
851,28 40,28,1.0,True
852,28 40,28,1.0,True
853,28 40,28,1.0,True
854,28 40,28,1.0,True
855,28 40,28,1.0,True
856,28 40,28,1.0,True
857,28 40,28,1.0,True
858,28 40,28,1.0,True
859,28 40,28,1.0,True
860,28 40,28,1.0,True
861,28 40,28,1.0,True
862,28 40,28,1.0,True
863,28 40,28,1.0,True
864,28 40,28,1.0,True
865,28 40,28,1.0,True
866,28 40,28,1.0,True
867,28 40,28,1.0,True
868,28 40,28,1.0,True
869,28 40,28,1.0,True
870,28 40,28,1.0,True
871,28 40,28,1.0,True
872,28 40,28,1.0,True
873,28 40,28,1.0,True
874,28 40,28,1.0,True
875,28 40,28,1.0,True
876,28 40,28,1.0,True
877,28 40,28,1.0,True
878,28 40,28,1.0,True
879,28 40,28,1.0,True
880,28 40,28,1.0,True
881,28 40,28,1.0,True
882,28 40,28,1.0,True
883,28 40,28,1.0,True
884,28 40,28,1.0,True
885,28 40,28,1.0,True
886,28 40,28,1.0,True
887,28 40,28,1.0,True
888,28 40,28,1.0,True
889,28 40,28,1.0,True
890,28 40,28,1.0,True
891,28 40,28,1.0,True
892,28 40,28,1.0,True
893,28 40,28,1.0,True
894,28 40,28,1.0,True
895,28 40,28,1.0,True
896,28 40,28,1.0,True
897,28 40,28,1.0,True
898,28 40,28,1.0,True
899,28 40,28,1.0,True
900,28 40,28,1.0,True
901,28 40,28,1.0,True
